subject_code,subject_name,learning_area,subject_type,class_level,semester,credits,hours_total,hours_per_week,is_active,flag
ค11101,คณิตศาสตร์,คณิตศาสตร์,พื้นฐาน,ป.1,,,200,5,false,
ง11101,การงานอาชีพ,การงานอาชีพ,พื้นฐาน,ป.1,,,40,1,false,
ท11101,ภาษาไทย,ภาษาไทย,พื้นฐาน,ป.1,,,200,5,false,
ท11201,ภาษาและการสื่อสาร,ภาษาไทย,เพิ่มเติม,ป.1,,,200,5,false,
พ11101,สุขศึกษาและพลศึกษา,สุขศึกษาและพลศึกษา,พื้นฐาน,ป.1,,,80,2,false,
ว11101,วิทยาศาสตร์,วิทยาศาสตร์และเทคโนโลยี,พื้นฐาน,ป.1,,,40,1,false,
ว11102,วิทยาการคำนวณ,วิทยาศาสตร์และเทคโนโลยี,พื้นฐาน,ป.1,,,40,1,false,
ว11201,สวนพฤกษศาสตร์ในโรงเรียน,วิทยาศาสตร์และเทคโนโลยี,เพิ่มเติม,ป.1,,,40,1,false,
ศ11101,ศิลปะ,ศิลปะ,พื้นฐาน,ป.1,,,80,2,false,
ส11101,สังคมศึกษา ศาสนา และวัฒนธรรม,สังคมศึกษา ศาสนา และวัฒนธรรม,พื้นฐาน,ป.1,,,40,1,false,
ส11102,ประวัติศาสตร์,สังคมศึกษา ศาสนา และวัฒนธรรม,พื้นฐาน,ป.1,,,40,1,false,
ส11103,หน้าที่พลเมือง วัฒนธรรมและการดำเนินชีวิตในสังคม,สังคมศึกษา ศาสนา และวัฒนธรรม,พื้นฐาน,ป.1,,,40,1,false,
อ11101,ภาษาอังกฤษ,ภาษาต่างประเทศ,พื้นฐาน,ป.1,,,40,1,false,
ค12101,คณิตศาสตร์,คณิตศาสตร์,พื้นฐาน,ป.2,,,200,5,false,
ง12101,การงานอาชีพ,การงานอาชีพ,พื้นฐาน,ป.2,,,40,1,false,
ท12101,ภาษาไทย,ภาษาไทย,พื้นฐาน,ป.2,,,200,5,false,
ท12201,ภาษาและการสื่อสาร,ภาษาไทย,เพิ่มเติม,ป.2,,,200,5,false,
พ12101,สุขศึกษาและพลศึกษา,สุขศึกษาและพลศึกษา,พื้นฐาน,ป.2,,,80,2,false,
ว12101,วิทยาศาสตร์,วิทยาศาสตร์และเทคโนโลยี,พื้นฐาน,ป.2,,,40,1,false,
ว12102,วิทยาการคำนวณ,วิทยาศาสตร์และเทคโนโลยี,พื้นฐาน,ป.2,,,40,1,false,
ว12201,สวนพฤกษศาสตร์ในโรงเรียน,วิทยาศาสตร์และเทคโนโลยี,เพิ่มเติม,ป.2,,,40,1,false,
ศ12101,ศิลปะ,ศิลปะ,พื้นฐาน,ป.2,,,80,2,false,
ส12101,สังคมศึกษา ศาสนา และวัฒนธรรม,สังคมศึกษา ศาสนา และวัฒนธรรม,พื้นฐาน,ป.2,,,40,1,false,
ส12102,ประวัติศาสตร์,สังคมศึกษา ศาสนา และวัฒนธรรม,พื้นฐาน,ป.2,,,40,1,false,
ส12103,หน้าที่พลเมือง วัฒนธรรมและการดำเนินชีวิตในสังคม,สังคมศึกษา ศาสนา และวัฒนธรรม,พื้นฐาน,ป.2,,,40,1,false,
อ12101,ภาษาอังกฤษ,ภาษาต่างประเทศ,พื้นฐาน,ป.2,,,40,1,false,
ค13101,คณิตศาสตร์,คณิตศาสตร์,พื้นฐาน,ป.3,,,200,5,false,
ง13101,การงานอาชีพ,การงานอาชีพ,พื้นฐาน,ป.3,,,40,1,false,
ท13101,ภาษาไทย,ภาษาไทย,พื้นฐาน,ป.3,,,200,5,false,
ท13201,ภาษาและการสื่อสาร,ภาษาไทย,เพิ่มเติม,ป.3,,,200,5,false,
พ13101,สุขศึกษาและพลศึกษา,สุขศึกษาและพลศึกษา,พื้นฐาน,ป.3,,,80,2,false,
ว13101,วิทยาศาสตร์,วิทยาศาสตร์และเทคโนโลยี,พื้นฐาน,ป.3,,,40,1,false,
ว13102,วิทยาการคำนวณ,วิทยาศาสตร์และเทคโนโลยี,พื้นฐาน,ป.3,,,40,1,false,
ว13201,สวนพฤกษศาสตร์ในโรงเรียน,วิทยาศาสตร์และเทคโนโลยี,เพิ่มเติม,ป.3,,,40,1,false,
ศ13101,ศิลปะ,ศิลปะ,พื้นฐาน,ป.3,,,80,2,false,
ส13101,สังคมศึกษา ศาสนา และวัฒนธรรม,สังคมศึกษา ศาสนา และวัฒนธรรม,พื้นฐาน,ป.3,,,40,1,false,
